[Epoch 88/3000] D Loss: -4.1569 | G Loss: 1.7324 | W Dist: 5.9473 | Aux MSE: 0.0000

[Epoch 89/3000] D Loss: -4.0386 | G Loss: 2.1109 | W Dist: 6.1149 | Aux MSE: 0.0000

[Epoch 90/3000] D Loss: -4.0435 | G Loss: 2.4214 | W Dist: 6.2058 | Aux MSE: 0.0000

[Epoch 91/3000] D Loss: -2.2836 | G Loss: 2.4806 | W Dist: 6.0634 | Aux MSE: 0.0000

[Epoch 92/3000] D Loss: -1.4054 | G Loss: 2.3509 | W Dist: 5.5345 | Aux MSE: 0.0000

[Epoch 93/3000] D Loss: -3.4324 | G Loss: 2.2507 | W Dist: 5.4396 | Aux MSE: 0.0000

[Epoch 94/3000] D Loss: -3.0351 | G Loss: 2.3020 | W Dist: 5.4491 | Aux MSE: 0.0000

[Epoch 95/3000] D Loss: -2.2699 | G Loss: 2.1610 | W Dist: 5.2353 | Aux MSE: 0.0000

[Epoch 96/3000] D Loss: -2.3805 | G Loss: 1.9553 | W Dist: 4.9631 | Aux MSE: 0.0001

[Epoch 97/3000] D Loss: -1.6797 | G Loss: 1.7795 | W Dist: 4.7099 | Aux MSE: 0.0026

[Epoch 98/3000] D Loss: 0.4843 | G Loss: 1.4157 | W Dist: 3.8109 | Aux MSE: 0.0015

[Epoch 99/3000] D Loss: -0.1051 | G Loss: 1.3917 | W Dist: 3.6697 | Aux MSE: 0.0007

[Epoch 100/3000] D Loss: -0.7757 | G Loss: 1.3472 | W Dist: 3.4682 | Aux MSE: 0.0276

[Epoch 101/3000] D Loss: -1.5760 | G Loss: 1.2299 | W Dist: 3.4761 | Aux MSE: 0.0208

[Epoch 102/3000] D Loss: -1.8930 | G Loss: 1.3135 | W Dist: 3.6210 | Aux MSE: 0.0028

[Epoch 103/3000] D Loss: -1.7574 | G Loss: 1.3161 | W Dist: 3.5772 | Aux MSE: 0.0007

[Epoch 104/3000] D Loss: -1.5259 | G Loss: 1.3074 | W Dist: 3.5875 | Aux MSE: 0.0004

[Epoch 105/3000] D Loss: -0.5080 | G Loss: 1.3171 | W Dist: 3.2102 | Aux MSE: 0.0003

[Epoch 106/3000] D Loss: -0.1091 | G Loss: 1.1689 | W Dist: 2.9666 | Aux MSE: 0.0004

[Epoch 107/3000] D Loss: -1.1260 | G Loss: 1.0412 | W Dist: 2.8737 | Aux MSE: 0.0002

[Epoch 108/3000] D Loss: -1.8482 | G Loss: 1.0301 | W Dist: 3.0911 | Aux MSE: 0.0002

[Epoch 109/3000] D Loss: -2.1025 | G Loss: 1.0236 | W Dist: 3.2391 | Aux MSE: 0.0002

[Epoch 110/3000] D Loss: -2.2422 | G Loss: 1.0800 | W Dist: 3.4780 | Aux MSE: 0.0002

[Epoch 111/3000] D Loss: -2.0253 | G Loss: 1.1305 | W Dist: 3.4524 | Aux MSE: 0.0001

[Epoch 112/3000] D Loss: -1.8970 | G Loss: 1.1405 | W Dist: 3.3269 | Aux MSE: 0.0001

[Epoch 113/3000] D Loss: -1.8869 | G Loss: 1.2013 | W Dist: 3.3028 | Aux MSE: 0.0000

[Epoch 114/3000] D Loss: -1.1460 | G Loss: 1.0772 | W Dist: 3.2395 | Aux MSE: 0.0000

[Epoch 115/3000] D Loss: -0.3772 | G Loss: 0.9115 | W Dist: 2.8307 | Aux MSE: 0.0000

[Epoch 116/3000] D Loss: 0.5316 | G Loss: 0.6384 | W Dist: 2.4469 | Aux MSE: 0.0000

